conv_layer#,avg_energy_consumption,avg_execution_time_ms,stdv_energy_consumption,stdv_execution_time_ms
1,135.0656833,4367.833333,4.973549807,33.60324629
2,202.0592833,6722.766667,2.113073092,18.29581323
3,100.2903,3302.933333,5.240589778,8.208210076
4,105.48495,3493.266667,2.178955794,17.73936463
5,116.5631833,3810.3,4.13042418,26.32705439
6,115.2484167,3740.333333,4.888888953,20.33568858
7,103.0380167,3403.1,16.74305636,549.7790998
8,114.7258,3796.433333,2.331172454,21.97911757
9,116.41865,3743.7,5.745022789,13.90646091
10,105.9285833,3491.9,4.635392711,17.09476629
11,115.90775,3810.7,3.131167554,22.24495293
12,226.9786,7485.166667,4.265231312,40.25614824
13,122.6475333,3988.333333,4.056563322,22.49802035
14,119.7487167,3957.966667,1.616770609,14.30091228
15,119.5243333,3961.066667,2.472844468,17.51636345
16,112.55035,3724.933333,2.410616841,9.273370601
17,102.9514667,3401.133333,3.351838399,15.02350649
18,120.4112333,3952,4.368039256,25.59094668
19,112.31415,3721.9,2.520766776,10.81936323
20,102.2814,3405.033333,2.02163761,11.55043911
21,119.97905,3943.233333,3.411578966,21.55935405
22,112.5111167,3720.166667,2.455450105,11.17596971
23,102.2384833,3409.6,1.311416985,12.33889281
24,120.4041167,3956.666667,3.41327188,21.97856845
25,229.8405667,7551.1,4.682202699,21.10131553
26,126.3926667,4201.266667,1.66704569,15.90040844
27,118.1357167,3906,3.073827864,12.73875434
28,126.4897667,4075.533333,5.472275122,16.63343814
29,111.46615,3699.033333,2.501161575,12.76169736
30,105.2968667,3484.8,2.298928873,9.785280994
31,124.074,4074.3,3.658086286,15.43205352
32,112.1464833,3700.8,3.395665722,9.703891861
33,104.3593167,3480.333333,2.874363388,8.527170907
34,123.9688167,4059.033333,4.897897831,29.52553931
35,111.4209667,3692.633333,3.304250434,15.02522783
36,105.1827333,3483.3,2.981842244,8.890715808
37,123.4703333,4067.366667,3.609937084,26.3039047
38,111.0843167,3696.133333,2.060983204,14.42634882
39,104.5594333,3478.3,1.856463563,10.18839773
40,125.11165,4053.233333,8.131630677,32.32345506
41,111.9304167,3698.366667,3.883136099,8.684045352
42,104.8525,3482.833333,2.755739762,11.25590522
43,123.3363,4071.166667,2.141922435,21.55679481
44,249.2380833,8130.166667,10.30812787,43.71781246
45,128.2178,4192.766667,4.187384172,23.08557294
46,129.2059167,4248,4.590847788,29.97930321
47,141.2454167,4546.333333,9.024511941,35.20514591
48,118.05005,3875.366667,3.781223291,18.76071341
49,118.4155333,3915.366667,2.642406825,19.16261326
50,140.1567333,4559.4,9.347979381,26.83230169
51,117.2117833,3882.266667,1.967178019,9.501119111
52,119.40365,3920.833333,3.77874047,13.43716753
53,144.4412667,4552.166667,15.78066745,29.70438646